ac;-9.9563;-67.86543;1
al;-9.66116;-35.74146;2
am;-3.10142;-59.97418;3
ap;-0.00609;-51.08485;4
ba;-13.00138;-38.50749;5
ce;-3.7458;-38.57565;6
df;-15.80416;-47.88138;7
es;-20.27694;-40.30444;8
go;-16.67642;-49.24087;9
ma;-2.55583;-44.30886;10
mg;-19.87;-43.9647245;11
ms;-20.50255;-54.61166;12
mt;-15.60812;-56.06511;13
pa;-1.475;-48.45555;14
pb;-7.21333;-35.9075;15
pe;-8.05888;-34.95333;16
pi;-5.10655;-42.8113;17
pr;-25.45061;-49.23211;18
rj;-22.95416;-43.17444;19
rn;-5.83961;-35.20095;20
ro;-8.83444;-63.94;21
rr;2.83393;-60.69473;22
rs;-30.04083;-51.20666;23
sc;-27.60138;-48.51694;24
se;-10.91455;-37.05449;25
sp;-23.55613;-46.72961;26
to;-10.18388;-48.3625;27
